ID_Chamado,Data_Abertura,Equipamento,Tipo_Falha,Prioridade,Tecnico_Responsavel,Status,Data_Conclusao,Tempo_Resolucao_Horas,Custo_Estimado_R$,Peca_Trocada,Linha_Onibus,Mes_Abertura
CH00001,2023-08-17 00:00:00,Display Digital DD-50,Falha de Leitura,Baixa,Pedro Oliveira,Concluída,2023-08-17 17:31:00,17.52,126,Sim,Linha 100,2023-08
CH00002,2023-08-12 00:00:00,Computador Bordo CB-100,Falha Elétrica,Baixa,João Silva,Concluída,2023-08-12 23:52:00,23.87,229,Sim,Linha 100,2023-08
CH00003,2023-10-12 00:00:00,Computador Bordo CB-100,Erro de Comunicação,Crítica,Maria Santos,Concluída,2023-10-12 00:31:00,0.52,1190,Sim,Linha 300,2023-10
CH00004,2023-04-05 00:00:00,Catraca CT-500,Erro de Comunicação,Média,Pedro Oliveira,Concluída,2023-04-05 16:58:00,16.97,274,Não,Linha 300,2023-04
CH00005,2023-05-08 00:00:00,Computador Bordo CB-100,Desgaste Mecânico,Baixa,Ana Costa,Pendente,,,196,Sim,Linha 500,2023-05
CH00006,2023-03-13 00:00:00,Catraca CT-500,Conectividade,Alta,Mário Inácio,Concluída,2023-03-13 02:23:00,2.38,608,Não,Linha 100,2023-03
CH00007,2024-04-09 00:00:00,Antena GPS AG-20,Erro de Comunicação,Baixa,Ana Costa,Concluída,2024-04-10 08:54:00,32.9,141,Não,Linha 300,2024-04
CH00008,2023-06-25 00:00:00,Validador VA-3000,Sensor Danificado,Alta,João Silva,Pendente,,,686,Não,Linha 200,2023-06
CH00009,2023-11-29 00:00:00,Catraca CT-700,Falha Elétrica,Alta,Mário Inácio,Concluída,2023-11-29 02:28:00,2.47,608,Sim,Linha 300,2023-11
CH00010,2023-11-19 00:00:00,Catraca CT-700,Desgaste Mecânico,Baixa,Maria Santos,Pendente,,,154,Sim,Linha 400,2023-11
CH00011,2023-09-10 00:00:00,Display Digital DD-50,Falha Elétrica,Média,Pedro Oliveira,Concluída,2023-09-10 23:09:00,23.15,387,Não,Linha 500,2023-09
CH00012,2023-05-22 00:00:00,Catraca CT-700,Defeito de Software,Crítica,Pedro Oliveira,Concluída,2023-05-22 02:40:00,2.67,1276,Sim,Linha 100,2023-05
CH00013,2023-03-07 00:00:00,Antena GPS AG-20,Falha de Leitura,Média,Maria Santos,Concluída,2023-03-07 17:08:00,17.13,347,Sim,Linha 400,2023-03
CH00014,2023-10-01 00:00:00,Computador Bordo CB-100,Desgaste Mecânico,Baixa,João Silva,Pendente,,,187,Sim,Linha 300,2023-10
CH00015,2024-05-27 00:00:00,Catraca CT-700,Erro de Comunicação,Crítica,João Silva,Concluída,2024-05-27 01:15:00,1.25,1279,Sim,Linha 300,2024-05
CH00016,2023-06-15 00:00:00,Antena GPS AG-20,Sensor Danificado,Média,Maria Santos,Concluída,2023-06-15 22:24:00,22.4,385,Sim,Linha 500,2023-06
CH00017,2023-11-11 00:00:00,Catraca CT-500,Falha Elétrica,Baixa,João Silva,Concluída,2023-11-12 00:20:00,24.33,114,Não,Linha 500,2023-11
CH00018,2023-05-09 00:00:00,Validador VA-2000,Falha de Leitura,Crítica,João Silva,Pendente,,,1182,Sim,Linha 500,2023-05
CH00019,2023-07-25 00:00:00,Validador VA-3000,Desgaste Mecânico,Crítica,Maria Santos,Pendente,,,1229,Sim,Linha 300,2023-07
CH00020,2023-08-19 00:00:00,Catraca CT-700,Defeito de Software,Crítica,João Silva,Concluída,2023-08-19 00:46:00,0.77,1236,Sim,Linha 500,2023-08
CH00021,2023-03-02 00:00:00,Computador Bordo CB-100,Erro de Comunicação,Média,João Silva,Concluída,2023-03-02 11:48:00,11.8,267,Sim,Linha 300,2023-03
CH00022,2023-08-08 00:00:00,Validador VA-2000,Defeito de Software,Média,Pedro Oliveira,Concluída,2023-08-08 22:24:00,22.4,283,Sim,Linha 500,2023-08
CH00023,2023-04-07 00:00:00,Catraca CT-700,Erro de Comunicação,Crítica,Ana Costa,Concluída,2023-04-07 00:54:00,0.9,1260,Não,Linha 400,2023-04
CH00024,2024-02-17 00:00:00,Catraca CT-700,Falha Elétrica,Baixa,João Silva,Concluída,2024-02-18 07:09:00,31.15,127,Não,Linha 200,2024-02
CH00025,2023-07-07 00:00:00,Validador VA-3000,Defeito de Software,Crítica,Maria Santos,Concluída,2023-07-07 01:41:00,1.68,1268,Não,Linha 100,2023-07
CH00026,2023-01-16 00:00:00,Catraca CT-700,Conectividade,Baixa,João Silva,Pendente,,,123,Não,Linha 200,2023-01
CH00027,2023-03-02 00:00:00,Catraca CT-700,Falha Elétrica,Crítica,Maria Santos,Concluída,2023-03-02 01:12:00,1.2,1247,Sim,Linha 400,2023-03
CH00028,2024-05-13 00:00:00,Catraca CT-500,Conectividade,Crítica,Pedro Oliveira,Concluída,2024-05-13 01:09:00,1.15,1198,Não,Linha 200,2024-05
CH00029,2023-02-21 00:00:00,Validador VA-2000,Defeito de Software,Baixa,Pedro Oliveira,Concluída,2023-02-22 23:52:00,47.87,222,Sim,Linha 500,2023-02
CH00030,2023-03-11 00:00:00,Validador VA-3000,Falha de Leitura,Baixa,Maria Santos,Concluída,2023-03-12 00:03:00,24.05,203,Sim,Linha 500,2023-03
CH00031,2024-03-05 00:00:00,Validador VA-3000,Defeito de Software,Baixa,Mário Inácio,Concluída,2024-03-06 23:50:00,47.83,244,Sim,Linha 300,2024-03
CH00032,2024-02-10 00:00:00,Catraca CT-500,Erro de Comunicação,Alta,Maria Santos,Concluída,2024-02-10 03:07:00,3.12,626,Sim,Linha 300,2024-02
CH00033,2023-04-13 00:00:00,Antena GPS AG-20,Falha de Leitura,Baixa,Ana Costa,Pendente,,,118,Sim,Linha 200,2023-04
CH00034,2023-09-08 00:00:00,Computador Bordo CB-100,Desgaste Mecânico,Média,Pedro Oliveira,Concluída,2023-09-08 16:36:00,16.6,322,Não,Linha 400,2023-09
CH00035,2023-01-09 00:00:00,Antena GPS AG-20,Defeito de Software,Alta,Mário Inácio,Pendente,,,691,Não,Linha 100,2023-01
